Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODAzMjM1Mzg2NDAxMTI6MTY5MDM4MDM1NjpzcF9idGY6MjAxNjI1NDM3MDcwOTg6OjA6Og&url=%2FWALKENT-Stylish-Spruce-Waterprrof-Resistant%2Fdp%2FB0BJ982TQN%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690380356%26sprefix%3Dba%252Caps%252C283%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,N/A,"₹3,190",4.5,19
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODAzMjM1Mzg2NDAxMTI6MTY5MDM4MDM1NjpzcF9idGY6MjAxNjMwNTk4MDQxOTg6OjA6Og&url=%2FWALKENT-Multifunction-Duo-Marketing-Waterproof%2Fdp%2FB0BJ986NTC%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690380356%26sprefix%3Dba%252Caps%252C283%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,N/A,"₹3,029",4.6,19
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjc2NDQxMzY2ODI2ODM4OjE2OTAzODAzNTg6c3BfYXRmX25leHQ6MzAwMDA2Nzg5Njc3NDMyOjowOjo&url=%2FWALKENT-Waterproof-Polyester-Material-Hazel%2Fdp%2FB0C7KP5BT4%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690380358%26sprefix%3Dba%252Caps%252C283%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,N/A,"₹1,990",N/A,M.R.P:
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjc2NDQxMzY2ODI2ODM4OjE2OTAzODAzNTg6c3BfYXRmX25leHQ6MjAxNTk1MzI1NDI2OTg6OjA6Og&url=%2FEUME-Tourismo-Backpack-Resistance-15-6-inch%2Fdp%2FB0B4JNV37M%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690380358%26sprefix%3Dba%252Caps%252C283%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,N/A,"₹2,499",4.4,7
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPTV3795/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1690380358&sprefix=ba%2Caps%2C283&sr=8-35,N/A,₹599,3.8,266
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1690380358&sprefix=ba%2Caps%2C283&sr=8-36,N/A,₹699,3.8,584
https://www.amazon.in/PAZZO-Alto-40L-Casual-Backpack/dp/B07VT3F795/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1690380358&sprefix=ba%2Caps%2C283&sr=8-37,N/A,₹849,4.0,"1,770"
https://www.amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y5S6C2P/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1690380358&sprefix=ba%2Caps%2C283&sr=8-38,N/A,₹549,4.0,683
https://www.amazon.in/FATMUG-Foldable-Luggage-Packing-Storage/dp/B07YFNXC3H/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1690380358&sprefix=ba%2Caps%2C283&sr=8-39,N/A,"₹1,099",4.2,"1,417"
https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1690380358&sprefix=ba%2Caps%2C283&sr=8-40,N/A,₹499,4.0,"4,032"
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVCBFM7/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1690380358&sprefix=ba%2Caps%2C283&sr=8-41,N/A,₹599,3.8,266
https://www.amazon.in/F-Gear-Blow-Laptop-Backpack/dp/B078J63VRY/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1690380358&sprefix=ba%2Caps%2C283&sr=8-42,N/A,"₹1,299",4.3,"1,290"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjc2NDQxMzY2ODI2ODM4OjE2OTAzODAzNTg6c3BfbXRmOjMwMDAyMTQyNjQ4NTMzMjo6MDo6&url=%2FBetterShine-Printed-Waterproof-Backpack-Compartment%2Fdp%2FB0CC2PSGHK%2Fref%3Dsr_1_43_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690380358%26sprefix%3Dba%252Caps%252C283%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA28K09EI2KGVEK,N/A,₹699,N/A,M.R.P:
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjc2NDQxMzY2ODI2ODM4OjE2OTAzODAzNTg6c3BfbXRmOjMwMDAwNjc0OTI3NDgzMjo6MDo6&url=%2FWALKENT-Stylish-Utility-Pockets-Swank%2Fdp%2FB0C7KPTKKS%2Fref%3Dsr_1_44_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690380358%26sprefix%3Dba%252Caps%252C283%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,N/A,"₹2,490",5.0,1
https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XG77KN/ref=sr_1_45?crid=2M096C61O4MLT&keywords=bags&qid=1690380358&sprefix=ba%2Caps%2C283&sr=8-45,N/A,₹319,4.1,"9,497"
